fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/02 11:00:00.000;40;38;;14.7;26.6;;0.4;;;998;0;100;15.6;7;0.2;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1007;18.5
2019/05/02 11:00:00.000;9;11;;;;;2.7;;;1000.7;0.3;100;15.1;326.3;0.3;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1007;18.5
2019/05/02 12:00:00.000;13;13;;;;;;;38.6;995;0.2;0.8;16.1;105.4;0.3;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 12:00:00.000;34;41;;19.5;31.6;;0.4;;;997.4;0;100.1;15.6;348.2;1.2;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 12:00:00.000;11;20;;;;;3.1;;;1000;0.4;100;15.1;347.2;2;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 13:00:00.000;54;8;;;;;;;31.5;994.1;0.8;0.8;16.1;214.5;0.9;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1008;13
2019/05/02 13:00:00.000;34;45;;12.3;20.2;;0.4;;;996.8;0;100;15.5;294.1;0.8;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1008;13
2019/05/02 13:00:00.000;13;23;;;;;3.1;;;999.4;0.8;100;15.1;307.2;0.5;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1008;13
2019/05/02 14:00:00.000;1;29;;;;;;;47.2;993.1;0.1;0.8;16.3;214;1;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;16.7
2019/05/02 14:00:00.000;44;53;;15.2;25;;0.6;;;995.8;0;100;15.7;321.6;0.3;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;16.7
2019/05/02 14:00:00.000;17;30;;;;;3.6;;;998.2;0.2;100;15.3;302.9;0.5;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;16.7
2019/05/02 15:00:00.000;218;25;;;;;;;27;993;0.2;0.8;16.6;207.9;1.9;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;13
2019/05/02 15:00:00.000;34;42;;10.6;17.4;;0.4;;;995.2;0;100;15.8;264.3;0.7;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;13
2019/05/02 15:00:00.000;19;32;;;;;3.9;;;998;0.2;100;15.5;265.3;1.1;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;13
2019/05/02 16:00:00.000;4;9;;;;;;;21.3;993;0;0.8;16.8;204.9;1.5;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;5.6
2019/05/02 16:00:00.000;42;58;;11.2;19.1;;0.5;;;996;0;100;16.2;288.5;0.7;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;5.6
2019/05/02 16:00:00.000;12;23;;;;;3.7;;;998;0;100;15.9;290.3;0.6;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1008;5.6
2019/05/02 17:00:00.000;7;18;;;;;;;2.3;993;0;0.8;16.5;77.8;0.1;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1008;7.4
2019/05/02 17:00:00.000;76;84;;15.1;29.2;;0.9;;;995.5;0;100;16;339.5;0.4;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1008;7.4
2019/05/02 17:00:00.000;12;35;;;;;4;;;998;0;100;15.6;337.4;1.1;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1008;7.4
